Type,TagName,URL
cell,all,https://localhost:44317/api/cell
DOWF,Monday,https://localhost:44317/api/tag
DOWF,Thursday,
DOWF,Monday OR Thursday,
TimeF,06:00-12:00,
TagF,Coffee maker,
TagF,2016,
TagF,Coffee maker & 2016,
HF,Norway,
HF,Weekend,
HF,Norway & Weekend,
TSF,Speed,
TSF,Steps,
TSF,Speed & Steps,
Filters,Coffee maker & 06:00-12:00,
Filters,Coffee maker & 06:00-12:00 & Monday & Norway,
F&A,Kitchen appliance(axis) & 06:00-12:00 & Monday & Norway(axis),
HA,Kitchen appliance,
HA,Norway,
HA,Kitchen appliance & Norway,
TSA,Steps,
A,Kitchen appliance & Norway & steps (tsa),
